,year,division,match_id,half_type,play_time,goal_range
562,2013,1,2013-1-220,1,39,2
563,2013,1,2013-1-220,2,19,4
564,2013,1,2013-1-222,1,14,0
565,2013,1,2013-1-222,2,15,4
566,2013,1,2013-1-222,2,17,4
567,2013,1,2013-1-223,1,29,1
568,2013,1,2013-1-223,1,44,2
569,2013,1,2013-1-223,2,22,4
570,2013,1,2013-1-224,1,12,0
571,2013,1,2013-1-224,2,17,4
572,2013,1,2013-1-224,2,31,5
573,2013,1,2013-1-224,2,42,5
574,2013,1,2013-1-225,2,1,3
575,2013,1,2013-1-225,2,15,4
576,2013,1,2013-1-225,2,42,5
577,2013,1,2013-1-226,2,4,3
578,2013,1,2013-1-227,1,2,0
579,2013,1,2013-1-227,1,44,2
580,2013,1,2013-1-227,1,46,2
581,2013,1,2013-1-227,2,6,3
582,2013,1,2013-1-227,2,21,4
583,2013,1,2013-1-228,2,34,5
584,2013,1,2013-1-229,1,4,0
585,2013,1,2013-1-229,1,34,2
586,2013,1,2013-1-229,1,39,2
587,2013,1,2013-1-229,2,8,3
588,2013,1,2013-1-229,2,24,4
589,2013,1,2013-1-229,2,47,5
590,2013,1,2013-1-230,1,28,1
591,2013,1,2013-1-230,2,9,3
592,2013,1,2013-1-230,2,41,5
593,2013,1,2013-1-231,1,5,0
594,2013,1,2013-1-231,1,34,2
595,2013,1,2013-1-231,2,30,5
596,2013,1,2013-1-232,2,30,5
597,2013,1,2013-1-233,1,22,1
598,2013,1,2013-1-233,1,24,1
599,2013,1,2013-1-233,2,24,4
600,2013,1,2013-1-233,2,29,4
601,2013,1,2013-1-234,2,41,5
602,2013,1,2013-1-235,1,1,0
603,2013,1,2013-1-235,1,6,0
604,2013,1,2013-1-235,2,36,5
605,2013,1,2013-1-236,1,4,0
606,2013,1,2013-1-236,1,33,2
607,2013,1,2013-1-236,1,36,2
608,2013,1,2013-1-236,2,22,4
609,2013,1,2013-1-236,2,47,5
610,2013,1,2013-1-237,2,34,5
611,2013,1,2013-1-237,2,37,5
612,2013,1,2013-1-238,1,2,0
613,2013,1,2013-1-238,1,31,2
614,2013,1,2013-1-238,2,29,4
615,2013,1,2013-1-239,2,6,3
616,2013,1,2013-1-239,2,37,5
617,2013,1,2013-1-239,2,47,5
618,2013,1,2013-1-240,1,14,0
619,2013,1,2013-1-240,1,37,2
620,2013,1,2013-1-240,2,17,4
621,2013,1,2013-1-240,2,29,4
622,2013,1,2013-1-241,1,19,1
623,2013,1,2013-1-242,2,32,5
624,2013,1,2013-1-243,1,19,1
625,2013,1,2013-1-243,1,21,1
626,2013,1,2013-1-243,1,34,2
627,2013,1,2013-1-244,1,44,2
628,2013,1,2013-1-244,2,24,4
629,2013,1,2013-1-244,2,28,4
630,2013,1,2013-1-244,2,45,5
631,2013,1,2013-1-245,2,37,5
